Unnamed: 0,job title,company,salary,description,rank
45,"HRIS & Compensation Data Analyst, Correctional Health Services",NYC Health + Hospitals,"$70,000-80,000 per year","About:NYC Health + Hospitals is the largest public health care system in the nation. We are a network of 11 hospitals, trauma centers, neighborhood health centers, nursing homes, post-acute care centers, and correctional health services. We are a home care agency and a health plan, MetroPlus. Our health system provides essential services to 1.4 million New Yorkers every year in more than 70 locations across the city's five boroughs. Our diverse workforce of more than 42,000 employees are uniquely focused on empowering New Yorkers, without exception, to live the healthiest life possible. Visit us at nychhc.org and stay connected on facebook.com/nycHHC or Twitter@hhcnyc.NYC Health + Hospitals/Correctional Health Services is one of the nation’s leading correctional health care systems in quality of and innovations to care, and access from pre-arraignment through compassionate release. In-jail services include medical, nursing, mental health, substance use treatment, social work, dental and vision care, discharge planning, and reentry support. In addition to providing direct patient care in the jails, CHS leverages the resources of the nation’s largest municipal health care system to help discharged patients successfully return to their communities. CHS is also a pivotal partner in New York City’s criminal justice reform efforts. ",19
8,HealthCare Data Analyst,Skillsessential,$40.00-50.00 per hour,"Client prioritizes the importance of skilled and dedicated healthcare professionals, offering a safe and supportive working environment and opportunities for growth. If you share their vision for providing exceptional healthcare, we invite you to apply today.Key ResponsibilitiesMaintain accurate and up-to-date financial records specific to healthcare transactions.Record and categorize healthcare-related financial transactions, such as patient billing, insurance reimbursements, and vendor payments.Budgeting And ForecastingCollaborate with healthcare management to develop and monitor budgets for various departments.Provide financial forecasts considering healthcare industry trends, patient volumes, and regulatory changes.ComplianceEnsure compliance with healthcare industry regulations, including Health Insurance Portability and Accountability Act (HIPAA) regulations.",20
35,Business Analyst,New York Blood Center,"$65,370-70,500 per year","At New York Blood Center, one of the most comprehensive blood centers in the world, our focus is on cultivating excellence by merging cutting-edge innovation with diligent customer service, groundbreaking research, and comprehensive program and service development. Join us as we work towards meeting and exceeding the growing needs of our diverse communities, further our lifesaving strategic goals in a rapidly changing environment, and expand our impact on the local, national, and global communities we serve. The business development analyst will apply financial principles and modeling to improve revenues, support business strategies and decision-making, and expand our customer base in the cell and gene therapy space. This role will include evaluation and improvement of project and process pricing, revenues, margins, and processes under the supervision of a business team lead.This role may report to either our NYC, NY or Boston, MA locationResponsibilities:-Generating searches and prospecting reports via Global Data (prospecting database) and supporting the establishment of CDAs for initial customer engagements. -Supporting development of business processes including invoicing and billing, and others as assigned.",21
16,"Data Analyst (Executive Search) United Talent Agency: NY, NY",United Talent Agency,"$50,000-60,000 per year","The Job:Can you tell me what, if anything do you know about UTA?Please share your experience with me. Would you say that you thrive in a fast or slow paced environment? Would you say that you need direction to make decisions or are u able to think on your own about decision making? Do you know anything about Executive Search and to what extent? Are you familiar with Cluen or any staffing ATS System? Why are you looking for a new opportunity? What we are looking for:We are looking for someone who is a natural critical thinker, someone who is able to be decision maker and able to rule out right from wrong and think beyond what is in front of them. I know that may sound very vague, but we work in an environment with very senior executives and some of our research involves piecing things together for executives who have a long history of expertise. That being said, we need someone who can say okay, I searched this and got no results so I may have to figure it out a different way. Additionally, someone who is comfortable working in a fast-paced environment, there are many moving pieces at once so definitely someone who can tell me what they did and why rather than wait for me to give direction. Of course, there is a learning curve which I will be taking part of but I definitely want someone who can be a decision maker and work well with daily deliverables. ",22
6,Jr. Business Data Analyst,Swivel Payment Solutions LLC,"$50,000-60,000 per year","Job Description:  - Analyze complex problems, derive options and solutions, and present them in an understandable manner to stakeholders, developers, testers, and users at multiple levels.   -   Act as a liaison with technology and business unit subject matter experts in support of the Transactions Monitoring project.   -   Solicit information from business and IT SMEs about application functions, data, and process flows.  -   Document application functions, data, and process flow using the prescribed template, or appropriate fit-for-purpose format Participate in the integration design process and provide detailed documentation and requirements as appropriate.  -   Document reports required by system stakeholders.  -   Oversees the acquisition, analysis, strategy, and dissemination of subject matter knowledge.  -   Conducts high-level business analysis involving complex business requirements and processes.  -   Plans and designs business processes and makes recommendations and changes in order to improve and support business systems and activities and/or to deliver greater effectiveness and efficiency.  -   Utilizes systems and data to resolve business issues in the most effective and productive manner. Identifies and implements best practices and suggests how to improve current practices.  ",23
204,Intern – Junior Data Scientist (Summer 2024),NJ TRANSIT,$18.00-28.00 per hour,"NJ TRANSIT SeekingIntern – Junior Data Scientist (Summer 2024) NJ TRANSIT is the third-largest transportation agency in North America and fully committed to delivering safe and reliable services. This tactic has driven our success in developing real-world solutions that affect many individuals lives every day. We are looking for talented students to hire for our Internship Program who can help initiate our solution-based business model to the next level. As an intern at NJ TRANSIT, you will oversee projects from concepts to completion. Our interns step away from the regular sitting at the desk to having the opportunity at hands-on experience with several business units within NJ TRANSIT. Our ideal candidate is passionate about learning and using creative solutions to make an impact on the lives of others.Objective of this role:The Junior Data Scientist at NJ TRANSIT will harness vast amounts of data to optimize business results. Candidate will exercise their knowledge of descriptive and multivariate statistical techniques and applications, and database analysis tools and techniques to develop strategic insights to drive business goals. ",24
7,Marketing Data Analyst,Practising Law Institute,"$76,000-80,000 per year","OVERVIEWPractising Law Institute (PLI) educates and informs lawyers and other professionals with innovative programs, publications, podcasts, and additional resources. With a sterling reputation developed over 90 years, PLI is a trusted source of professional development and knowledge for the legal community. A nonprofit organization, PLI is also known for its dedication to providing pro bono training and resources to ensure access to justice. PLI’s client base includes a large array of prestigious law firms, corporations, and government agencies. We are also proud to have recently been named one of the “Brands That Matter” by Fast Company. More information about PLI may be found on our website www.pli.edu.PLI is searching for a marketing professional to fill the role of Marketing Data Analyst (responsibilities and qualifications are described below). Work in a collaborative environment with a diverse, employee community where staff enjoy a generous benefits package and a genuine commitment to a work-life balance (4+ weeks of paid time off and hybrid remote/in-person schedules for most roles). KEY RESPONSIBILITIES",25
38,"Senior Data Analyst, Support Voting Rights Work",New York State Office of the Attorney General,"$86,565 per year","Division of Social JusticeCivil Rights Bureau, Voting Rights Section – New York City  Senior Voting Rights Data AnalystReference No. CRI/VRS_NYC_SVRDA_6311 Application Deadline is March 22, 2024 The Office of the New York State Attorney General (OAG) is seeking a dedicated candidate with experience or interest in voting rights for the position of Senior Voting Rights Data Analyst (SVRDA) in the Voting Rights Section of the Civil Rights Bureau in New York City. The Voting Rights Section is a recently established Section within the OAG. The Section is charged with, among other things, enforcing the newly-enacted New York Voting Rights Act, one of the strongest state voting rights laws in the country, including implementing one of the first-ever state “preclearance” programs. More generally, the Civil Rights Bureau enforces federal, state, and local laws that protect New Yorkers from discrimination on the basis of a protected class, including race, color, national origin, ethnicity, gender, gender identity, religion, age, marital status, sexual orientation, military status, source of income, or disability. The Bureau investigates and civilly prosecutes alleged patterns of unlawful discrimination in a variety of arenas, including employment, housing, education, criminal justice, voting, lending, places of public accommodation, and hate crimes. In addition to litigation, the Bureau engages in significant community outreach and public education and other advocacy efforts. ",26
1,Jr. Data Analyst,Swivel Payment Solutions LLC,"$50,000-60,000 per year","Job Description:·      Create, validate and send daily, weekly, and monthly management reports to clients·      Assistance with requests for non-standard reports and analysis for clients·      Support management reporting by maintaining the hierarchy of information Research and answering clients’ questions·      Perform business-to-system analysis and troubleshooting analysis of complex management reports and business problems with guidance·      In the report, development lifecycle support impact analysis and project requirements definition·      Transform client needs into functional requirements·      With guidance, collect, analyze and document business requirements for project proposals including but not limited to process and data flow, user interface, security, and reporting requirements·      Together with managers and/or senior analysts, participate in cross-functional meetings where customers are interviewed to understand customer needs and identify problems and appropriate solutions, develop specifications, analyze and document business processes, validate testing processes, and train the user community.·      Support teamwork and get internal and external client feedback on processes, procedures, and technology",27
235,"2024 Summer Scholars Program at the Center for Research on Housing Opportunity, Mobility, and Equity",New York City Department of Housing Preservation & Development,$20.00 per hour,"The HPD Center for Research on HOME (Housing Opportunity, Mobility, and Equity) is excited to offer the 2024 HOME Summer Scholars Program to provide energetic and motivated undergraduate and graduate students the opportunity to obtain experience in applied research within a large government housing agency. Our research program offers students the opportunity to work closely with the HPD research team on better understanding how the city helps low-income families in NYC find and maintain safe and affordable housing. The program also provides training to help students in their professional development as social scientists, with particular emphasis on skills related to primary data collection, fieldwork, survey design and administration, statistical analysis, data dissemination, and translation of findings into practice.Why do research at HPDAs the largest municipal housing agency in the U.S., HPD strives to advocate for the quality and affordability in NYC’s housing, and diversity and strength in NYC’s neighborhoods.  The findings from research conducted at HPD directly helps residents of NYC through policies developed to promote resident health and safety along with affordable housing.  The creation, maintenance, and expansion of opportunities for New Yorkers— including housing voucher holders, formerly homeless households, people with disabilities, and populations with unmet needs—to attain the economic and social benefits of housing affordability.",28
31,Data Science Intern,ABM Industries Inc.,$21.00-25.00 per hour,"Job Summary: As a Data Science Intern, you will work closely with our data science team. You will have the opportunity to contribute to data analysis, model development, and insights generation. This internship provides a valuable learning opportunity for individuals interested in pursuing a career in data science, machine learning, or analytics.Responsibilities:Assist in data collection, data cleaning, and data preprocessing tasks to prepare datasets for analysis.Develop and implement machine learning models using tools and libraries such as Python, REvaluate model performance, conduct model validation, and fine-tune model parameters to optimize predictive accuracy and generalization.Communicate findings and results effectively through data visualization, reports, and presentations to stakeholders and team members.Collaborate with cross-functional teams, including data engineers, software developers, and business analysts, to integrate data science solutions into existing systems and workflows.Stay updated on emerging trends, techniques, and tools in data science, machine learning, and artificial intelligence domains.",29
70,Junior Research Analyst,Boundless Impact Research & Analytics,"$55,000-75,000 per year","Boundless is seeking a Junior Research Analyst with environmental analysis experience and an interest in and aptitude for life cycle assessment. He/she must have strong research and analytical skills as well as data modeling and visualization experience. He/she will work with the Boundless research team to apply the Boundless environmental impact assessment methodology to emerging clean tech companies—compiling, analyzing, and interpreting large amounts of data. He/she will also regularly perform statistical analysis and produce company and industry reports. WHO WE AREBoundless is an industry research and environmental impact analytics firm that provides objective and actionable information to move investment dollars more quickly toward clean technologies and climate solutions. Our science-based, data-driven approach is grounded in the proven methodology of Life Cycle Assessment (LCA). The scores and metrics derived are trustworthy and reliable because they are unbiased and validated by external industry and/or scientific experts. Boundless has the capabilities to perform rapid (and screening) LCA, LCA consistent with ISO 14040, and Scope 1,2,3 emissions inventories.",30
53,IT Training and Placement Specialist,Cloud Resources LLC,$30.00-40.00 per hour,"IT Training, Certification and Job Placement Cloud Resources Cloud resources is a professional IT services company offering training, certification, and placement in various technologies. We provide services to prestigious clients and welcome IT professionals seeking to advance their careers.Our training and certification programs include:- Java Certification Training (120 hours)- Python Certification Training (100 hours) - MuleSoft Developer Certification Training (140 hours)- AWS Certified Cloud Practitioner Training (40 hours)- PMP Certified Project Manager Training (35 hours)- ETL Developer Certification- Business Analyst Certification- Data Analyst Certification - .Net Certification",31
58,Senior Research Analyst,Boundless Impact Research & Analytics,"$90,000-120,000 per year","Boundless Impact Research & Analytics (Boundless) is seeking a Senior Research Analyst with an environmental science or engineering background and experience with Life Cycle Assessment (LCA) and/or Techno-Economic Analysis (TEA). The candidate will perform statistical analysis, create environmental and financial metrics, present findings to customers, and produce substantiated recommendations. The candidate must have strong quantitative analysis and modeling skills, with the ability to compile, structure, analyze, and interpret large amounts of data. The ideal candidate will have a strong familiarity with emerging climate technologies such as energy storage, food & ag systems, low carbon fuels and circular economy technologies. The ideal candidate also understands how to help users interface with data and analytics to seamlessly transform a cumbersome and technical process into an intuitive and user-friendly product. This role will involve collaborating with the research team, technology development team, and company leaders to document processes, identify opportunities for process improvements, recommend system designs and modifications, and develop policies for data governance. The candidate will work with corporate customers and the Boundless team. ",32
118,"Program Manager, Statistics and Analytics","Fusco Personnel, Inc.","$120,000-151,000 per year","Program Manager, Statistics & AnalyticsAlbany or New York City Fusco Personnel is actively recruiting for a Program Manager, Statistics & Analyticsto join our client in leading the nation in the fight on global climate change and the transition to a clean-energy powered economy! The conceptualize, drive and implement the statistical analysis, modeling and analytical functions needed to support the design, analysis and evaluation of Authority initiatives as well as the data mining of Authority data assets. The individual will manage the development of statistical, logical and analytical tools and subsequent analysis of data to assess both opportunities and performance. This is a full-time, direct-hire opportunity with the opportunity to work within either office location.",33
